	PNSR	SSIM	MSE
0	26.009857	0.70094067	0.010024764
1	29.281773	0.7824157	0.004719354
2	25.857674	0.79610074	0.0103822695
3	26.889496	0.87082213	0.008186726
4	26.150684	0.8196942	0.0097049065
5	18.991913	0.5050258	0.050450884
6	22.814945	0.7184473	0.02092018
7	24.361048	0.6936469	0.014653962
8	26.896086	0.82397443	0.008174314
9	31.065727	0.93466467	0.0031295875
10	20.190458	0.70374286	0.038283706
11	30.86139	0.3993288	0.0032803558
12	25.401564	0.8433678	0.011531967
13	27.048077	0.8666638	0.007893181
14	13.884014	0.5627277	0.16355301
15	24.910854	0.62902844	0.0129114315
16	18.715292	0.45979592	0.053768847
17	24.675264	0.73689955	0.013631178
18	26.799719	0.884039	0.008357723
19	23.657291	0.72484976	0.017231809
20	24.88065	0.59270906	0.013001544
21	23.546013	0.62222517	0.017679038
22	28.30375	0.87570167	0.005911327
23	28.322025	0.8620245	0.0058865035
24	24.68479	0.6494669	0.013601312
25	20.330496	0.009740872	0.037068952
26	22.65254	0.84499466	0.021717306
27	19.53533	0.5456439	0.044517107
28	27.397224	0.84375954	0.007283453
29	25.027685	0.70691574	0.012568728
30	13.111387	0.0026005763	0.19539848
31	26.47051	0.75960255	0.009015894
32	25.715616	0.82455605	0.01072749
33	26.171682	0.85065323	0.009658099
34	22.044323	0.69386667	0.024982024
35	28.036413	0.872272	0.006286639
36	26.113	0.75999695	0.009789484
37	26.76645	0.745079	0.008421993
38	26.579634	0.85506535	0.008792179
39	11.945603	0.0012664763	0.25556397
40	25.507652	0.81962067	0.01125368
41	27.114204	0.8288737	0.0077739083
42	23.264614	0.7354111	0.018862464
43	23.683075	0.61567026	0.017129805
44	28.611477	0.8534782	0.0055069616
45	26.17557	0.77559465	0.009649461
46	28.648832	0.8231157	0.0054597976
47	26.939312	0.8408336	0.008093355
48	27.233776	0.81283	0.007562792
49	27.359636	0.73390704	0.007346767
50	25.106024	0.8035247	0.01234404
51	27.680338	0.8300733	0.0068237963
52	25.389603	0.8167433	0.011563777
53	27.329742	0.89451534	0.00739751
54	27.674002	0.87246174	0.006833758
55	25.858805	0.8256678	0.010379569
56	23.952353	0.19510765	0.016099948
57	25.04247	0.74721164	0.012526007
58	28.261848	0.86146325	0.005968633
59	27.431974	0.86793876	0.0072254096
60	23.295097	0.78428435	0.01873053
61	18.511374	0.18484853	0.05635373
62	26.660572	0.838521	0.008629836
63	28.061129	0.86505353	0.0062509617
64	26.022564	0.82692236	0.009995477
65	23.895588	0.87585497	0.016311768
66	22.225431	0.76644087	0.023961648
67	22.06659	0.59344685	0.024854267
68	24.596395	0.634916	0.013880982
69	25.757753	0.74735314	0.010623917
70	27.206213	0.8408797	0.007610943
71	25.9253	0.79917276	0.010221858
72	28.457663	0.856268	0.005705497
73	25.473724	0.6642834	0.011341944
74	26.297752	0.8148769	0.009381767
75	27.366394	0.8365804	0.007335343
76	31.25791	0.8905993	0.002994117
77	28.892387	0.9288769	0.005162035
78	23.82771	0.7133369	0.016568722
79	26.0855	0.87132007	0.009851672
80	28.96431	0.9154772	0.0050772545
81	26.498323	0.6994635	0.008958338
82	22.61038	0.7175392	0.021929152
83	28.955061	0.898566	0.005088078
84	34.238953	0.9295033	0.0015071783
85	25.57124	0.7251097	0.01109011
86	22.73237	0.6615521	0.021321746
87	29.962013	0.85356957	0.004035139
88	24.427002	0.7631371	0.014433098
89	20.330496	0.009740872	0.037068952
90	24.616335	0.7919698	0.013817402
91	26.515326	0.77646375	0.00892334
92	21.62575	0.5723473	0.027509646
93	23.314848	0.020775598	0.018645544
94	23.97279	0.66027606	0.01602437
95	25.83715	0.67222893	0.010431453
96	24.459085	0.71097666	0.014326874
97	25.202482	0.9122285	0.0120729
98	25.875875	0.81478274	0.010338852
99	30.408518	0.9076999	0.003640893
